-0.0302	2.8101	0	0	-0.0302	2.8101	-0.0079	2.9498	-0.0628	0.998
-0.112416	3.04499	-0.210295	1.13802	-0.118348	3.02499	-0.0611	3.346	-0.1874	0.9823
-0.0464044	3.77617	0.18088	1.71222	-0.0438	3.8155	-0.1635	3.7324	-0.309	0.9511
-0.173829	4.23105	-0.348683	1.00557	-0.177745	4.18923	-0.3136	4.1029	-0.4258	0.9048
-0.472018	4.55332	-0.791537	0.778503	-0.4894	4.538	-0.5089	4.4517	-0.5358	0.8443
-0.586573	4.8446	-0.335619	1.22491	-0.533188	4.56376	-0.7464	4.7732	-0.6374	0.7705
-1.20037	4.8307	-1.60167	-0.179925	-1.2428	4.7444	-1.0223	5.0624	-0.729	0.6845
-1.50669	5.1949	-0.604555	0.72392	-1.49656	5.44124	-1.3323	5.3148	-0.809	0.5878
-1.72065	5.43786	-0.522787	0.592414	-1.7158	5.4288	-1.6715	5.5264	-0.8763	0.4818
-2.15542	5.47934	-1.08915	-0.0392778	-2.19091	5.47414	-2.0345	5.6937	-0.9298	0.3681
-2.40013	5.82788	-0.648565	0.958462	-2.3928	5.8869	-2.4157	5.8143	-0.9686	0.2487
-2.74946	5.78942	-0.820599	-0.332836	-2.75487	5.73073	-2.8089	5.8861	-0.9921	0.1253
-3.20469	5.80339	-1.15804	0.0950699	-3.223	5.8339	-3.208	5.908	-1	0
-3.67235	5.90583	-1.00306	0.00444867	-3.76651	6.06137	-3.6068	5.8798	-0.9921	-0.1253
-3.95976	5.97603	-0.732897	0.161891	-3.9505	5.9807	-3.9988	5.8018	-0.9686	-0.2487
-4.58987	5.80142	-1.49991	-0.677229	-4.73052	5.83067	-4.378	5.6753	-0.9298	-0.3681
-4.91543	5.65257	-0.850597	-0.426192	-4.8911	5.6555	-4.7384	5.5023	-0.8763	-0.4817
-4.99213	5.46691	-0.421538	-0.177203	-4.77289	5.28417	-5.0742	5.2854	-0.809	-0.5878
-5.41815	4.87602	-0.92667	-1.42091	-5.421	4.824	-5.3802	5.0282	-0.729	-0.6845
-5.35056	4.62148	0.0619644	-0.435681	-5.13504	4.55943	-5.6515	4.7347	-0.6374	-0.7705
-5.89973	4.19225	-1.42777	-0.937185	-5.975	4.1949	-5.884	4.4095	-0.5358	-0.8443
-6.10763	4.04107	-0.268124	-0.443306	-6.08995	4.11021	-6.0738	4.0577	-0.4258	-0.9048
-6.44343	3.89081	-0.901023	-0.333947	-6.4823	3.9046	-6.218	3.6848	-0.309	-0.9511
-6.75276	3.38809	-0.820832	-1.29545	-6.66726	3.28001	-6.3144	3.2969	-0.1874	-0.9823
-6.58977	2.919	0.503797	-1.29214	-6.5116	2.8993	-6.3614	2.8999	-0.0628	-0.998
-6.36905	2.56224	0.354452	-0.786473	-6.26671	2.55542	-6.3582	2.5002	0.0628	-0.998
-6.46599	2.15135	-0.301466	-0.990136	-6.5054	2.1508	-6.305	2.104	0.1874	-0.9823
-6.38382	1.84582	0.294069	-0.760428	-6.33923	1.85443	-6.2026	1.7176	0.309	-0.9511
-6.08626	1.56362	0.800385	-0.720687	-6.0536	1.5611	-6.0525	1.3471	0.4258	-0.9048
-5.82509	0.956485	0.614963	-1.57124	-5.8048	0.908759	-5.8572	0.9983	0.5358	-0.8443
-5.47375	0.721506	0.88965	-0.587823	-5.4618	0.7559	-5.6197	0.6768	0.6374	-0.7705
-5.47836	0.737127	0.194696	0.0594399	-5.75301	0.815376	-5.3438	0.3876	0.729	-0.6846
-4.92894	0.204758	1.53746	-1.40583	-4.8359	0.1463	-5.0338	0.1352	0.809	-0.5878
-4.57926	-0.155161	1.10834	-0.839705	-4.81471	-0.134812	-4.6946	-0.0764	0.8763	-0.4818
-4.37413	-0.188023	0.446568	-0.00280483	-4.4152	-0.1566	-4.3316	-0.2437	0.9298	-0.3681
-3.96287	-0.437913	0.936574	-0.671714	-3.80058	-0.424347	-3.9504	-0.3642	0.9686	-0.2487
-3.66432	-0.339393	0.720293	0.371706	-3.6775	-0.2978	-3.5572	-0.4361	0.9921	-0.1254
-3.29418	-0.408238	1.27864	-0.188782	-3.43245	-0.430931	-3.158	-0.458	1	0
-2.75971	-0.468147	1.34375	-0.142153	-2.7553	-0.4661	-2.7593	-0.4298	0.9921	0.1253
-2.2583	-0.370707	1.36827	0.296805	-2.31539	-0.37649	-2.3672	-0.3518	0.9686	0.2487
-2.11669	-0.20084	0.205098	0.497345	-2.192	-0.1977	-1.988	-0.2253	0.9298	0.3681
-1.95442	-0.140436	0.512728	0.131002	-1.96535	-0.13818	-1.6277	-0.0523	0.8763	0.4817
-1.24691	0.198473	1.93532	1.07719	-1.1519	0.2408	-1.2919	0.1646	0.809	0.5878
-1.03455	0.654792	0.121032	1.55939	-0.953349	0.371846	-0.9859	0.4218	0.729	0.6845
-0.586578	0.856374	1.27147	0.381232	-0.514	0.775	-0.7145	0.7153	0.6374	0.7705
-0.451083	1.07392	0.255374	0.911112	-0.409317	0.864495	-0.4821	1.0406	0.5359	0.8443
-0.319276	1.30046	0.348199	0.521014	-0.3145	1.2743	-0.2923	1.3923	0.4258	0.9048
-0.102994	1.71652	0.528342	1.25952	-0.0877536	1.69573	-0.1481	1.7652	0.309	0.951
0.0504728	2.2289	0.33079	1.27967	0.0413	2.2307	-0.0517	2.1531	0.1874	0.9823
-0.106033	2.4418	-0.388716	1.07277	-0.0691693	1.9981	-0.0047	2.5501	0.0628	0.998
0.115888	3.09216	0.809531	1.69562	0.1695	3.1358	0.0016	2.95	0.0314	0.9995
